Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Kinsella Quarry,8086 East Genesee Street,,Fayetteville,NY,13066,Onondaga,7,3156373390,T.H. Kinsella; Inc.,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[34C60034],Yes,421280,4765461,1 - No accuracy stated,Soil (Clean),34C60034,06/05/2023,06/04/2028,"8086 East Genesee Street
Fayetteville, NY 13066
(43.03891, -75.96688)"
Hope Solid Waste and Recyclables Collection Site,Route 30,,Hope,NY,12134,Hamilton,5,5189243400,Town of Hope,Municipal,Transfer facility - less than 50 tpd - registration,[21T10003],Yes,561314,4794921,,MSW (Residential/Institutional & Commercial),21T10002,07/26/2022,07/26/2027,
C.J. Krantz Inc. Organic Recycling Center,560 Smith Road,,Amherst,NY,14051,Erie,9,7166095999,Tim Krantz,Private,Composting - yard waste - permit,[15PP0061],Yes,197006,477363,4 - GIS Assisted,Yard Trimmings;Wood/Brush,9-1422-00087/00003,11/10/2021,11/09/2031,"560 Smith Road
Amherst, NY 14051
(43.0541, -78.72069)"
Greece (T) Transfer Station,635 Flynn Road,,Greece,NY,14612,Monroe,8,5857232376,Town of Greece,Municipal,CDDHRF - concrete; rock; brick; asphalt pavement or millings - registration,[28C20029],Yes,279500,4795900,4.2 - Utilization of GIS and existing spatial data,Asphalt Millings;Asphalt Pavement,28C20029,08/01/2022,07/31/2027,"635 Flynn Road
Greece, NY 14612
(43.28464, -77.71463)"
French Farms Leaf Compost,226 Brewery Rd.,,New City,NY,10956,Rockland,3,8457532200,Town of Clarkstown,,Composting - yard waste - permit,[44PP0003],Yes,584941,4555524,,Yard Trimmings,3-3920-00108/00004,,,"226 Brewery Rd.
New City, NY 10956
(41.13104, -73.97355)"
Wright TS (T),105A School Street,,Schoharie,NY,12157,Schoharie,4,5188729726,Town of Wright,Municipal,Transfer facility - less than 50 tpd - registration,[48T15001],Yes,562606,4723509,1 - No accuracy stated,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Waste Tires,48T15001,08/18/2023,08/17/2028,"105A School Street
Schoharie, NY 12157
(42.66153, -74.23571)"
Ben Weitsman of Allegany LLC,34 West Union St,,Allegany,NY,14706,Cattaraugus,9,7163721042,Ben Weitsman of Allegany; LLC,Private,VDF - registration,[05V50005],Yes,210603,4665884,1 - No accuracy stated,End of Life Vehicles VDFs,05V50005,10/18/2023,10/18/2028,"34 West Union St
Allegany, NY 14706
(42.09178, -78.49971)"
Boonville Hot Mix Ashpalt Facility,2006 State Route 12,,Boonville,NY,13309,Lewis,6,3159424260,Barrett Paving Materials Inc,Private,C&D processing - registration,[25W01],Yes,473852,4819415,3.6 - Unknown type,Asphalt;Asphalt Millings,,,,"2006 State Route 12
Boonville, NY 13309
(43.52708, -75.32353)"
Chemung Co. Materials Recycling Facility,1690 Lake Street,,Elmira,NY,14901,Chemung,8,8002273552,Chemung County,County,RHRF - greater than 5 tpd - registration,[08R20011],Yes,350490,4664678,4.1 - Address Matching,Single Stream;Paperboard/Boxboard;Electronics;Other Aluminum Scrap Metal;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal;Enameled Appliances / White Goods,08R20011,12/24/2020,12/24/2025,"1690 Lake Street
Elmira, NY 14901
(42.11991, -76.80895)"
IWS Chester,89 Black Meadow Road,,Chester,NY,10918,Orange,3,,Interstate Waste Services Inc,Private,RHRF - greater than 5 tpd - registration,[36R20001],Yes,559929,4577051,,Commingled Recyclables;Source Separated Recyclables (Metal/Glass/Paper/Plastic),36R20001,07/31/2018,07/31/2023,"89 Black Meadow Road
Chester, NY 10918
(41.34322, -74.28385)"
Alpha Jamesville Facility,Ogle Road,,Jamesville,NY,13078,Onondaga,7,3154335115,Syracuse Sand and Gravel LLC,Private,CDDHRF - concrete; rock; brick; asphalt pavement or millings - registration,[34C90002],Yes,411846,4761391,1.1 - Obtained from original submission and unverified process,Concrete;Rock;Brick;Asphalt Pavement,34C90002,07/12/2024,07/11/2029,
Green Pines Septic,682 Starkville Road,,Fort Plain,NY,13339,Montgomery,4,5189935407,Patricia Przestrzelski,,Land application - septage - registration,[29A43002],Yes,520225,4748655,,Septage,29T23002,02/14/2024,02/13/2029,"682 Starkville Road
Fort Plain, NY 13339
(42.88997, -74.75483)"
Contento Auto Sales Inc.,230 Tiona Road,,Maine,NY,13802,Broome,7,6078623350,230 Tiona Road LLC,Private,VDF - registration,[04V50028],Yes,412384,4674675,,End of Life Vehicles VDFs,04V50028,10/06/2025,10/05/2030,"230 Tiona Road
Maine, NY 13802
(42.22016, -76.06127)"
B&B Recycling,3898 Tinney Road,,Penn Yan,NY,14527,Yates,8,3155366855,Richard Ingram,Private,Scrap metal processor - registration,[62V30001],Yes,322589,4726459,4.3 - Utilization of Digital Orthophoto Quads,Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,62V30001,05/19/2023,05/19/2028,"3898 Tinney Road
Penn Yan, NY 14527
(42.66929, -77.16457)"
Poughkeepsie TS (C),26 Howard St - DPW Yard,,Poughkeepsie,NY,12601,Dutchess,3,8454514111,City of Poughkeepsie,Municipal,Transfer facility - less than 50 tpd - registration,[14T10004],Yes,591022,4618093,,MSW (Residential/Institutional & Commercial);Single Stream;Tree Debris;Yard Trimmings,14T10004,06/13/2024,06/12/2029,"26 Howard St - DPW Yard
Poughkeepsie, NY 12601
(41.70882, -73.90502)"
Big Moe's Tires LLC,409 Hertel Avenue,,Buffalo,NY,14207,Erie,9,7164451677,Mohamed Khalil,,VDF - registration,[15V50120],Yes,182424,4762135,4.2 - Utilization of GIS and existing spatial data,End of Life Vehicles VDFs,15V50120,07/21/2025,07/21/2030,"409 Hertel Avenue
Buffalo, NY 14207
(42.94572, -78.89259)"
S&S Sanitation,4562 State Route 37,,Malone,NY,12953,Franklin,5,5186516345,Gaylord Snyder,Private,Land application - septage - registration,[17A40002],Yes,551044,4972193,4.3 - Utilization of Digital Orthophoto Quads,Septage,17A40002,07/25/2024,07/25/2029,"4562 State Route 37
Malone, NY 12953
(44.90474, -74.35586)"
Cardo Site Development Storage Yard,36 & 38 Old Country Road,,Quogue,NY,11959,Suffolk,1,6316534377,36-38 OCR LLC,Private,CDDHRF - concrete; rock; brick; asphalt pavement or millings - registration,[52C90272],Yes,701623,4523309,4.3 - Utilization of Digital Orthophoto Quads,Concrete;Asphalt Pavement;Brick;Rock,52-0272,05/29/2024,05/28/2029,"36 & 38 Old Country Road
Quogue, NY 11959
(40.83706, -72.6077)"
Clarkie's Auto Salvage,191 Geyser Rd.,,Saratoga Springs,NY,12866,Saratoga,5,5185845376,Thomas Clark,Private,Scrap metal processor - registration,[46V30011],Yes,594374,4767066,,Scrap Metal - Non-ferrous,46V30011,01/30/2024,01/29/2029,"191 Geyser Rd.
Saratoga Springs, NY 12866
(43.05023, -73.8398)"
High Peaks Sand & Gravel LLC,617 Route 28N,,Chester,NY,12853,Warren,5,2039944686,Robert Zaloski,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[57C60028],Yes,583298,4842639,,Rock;Soil (Clean);Sand;Gravel,57C60028,02/29/2024,02/28/2029,"617 Route 28N
Chester, NY 12853
(43.732, -73.96483)"
Town of Seneca Falls Highway Department,187 Ovid St,,Seneca Falls,NY,13148,Seneca,8,3155686288,Town of Seneca Falls,Municipal,RHRF - 5 tpd or less - registration,[50R10013],Yes,353342,4750878,4.3 - Utilization of Digital Orthophoto Quads,Source Separated Recyclables (Metal/Glass/Paper/Plastic);Metals (Ferrous);Metals (Non-Ferrous),50R10013,08/11/2021,08/11/2026,"187 Ovid St
Seneca Falls, NY 13148
(42.89649, -76.79868)"
Mott's LLP,4363 State Route 104,,Williamson,NY,14589,Wayne,8,3155891846,Mott's LLP,Private,Land application - UFPW - registration,[59A30005],Yes,323409,4789350,4.2.1 - Utilization of GIS and Facility Mapping System,Non-recognizable Food Processing Waste,59A30005,10/04/2024,10/03/2029,"4363 State Route 104
Williamson, NY 14589
(43.23496, -77.17357)"
Ellerslie Stables,40 Ellerslie Road,,Rhinebeck,NY,12572,Dutchess,3,9148062501,Goomer Hollow LLC,Private,Composting - SSO - registration,[14P20002],Yes,587484,4639613,4 - GIS Assisted,Food Scraps;Animal Bedding,14P20002,10/02/2023,10/01/2025,"40 Ellerslie Road
Rhinebeck, NY 12572
(41.90223, -73.94387)"
College of Veterinary Medicine at Cornell University,Upper Tower Road,,Ithaca,NY,14853,Tompkins,7,6072533760,College of Vet Medicine at Cornell,State,RMW - permit,[55JP0005],Yes,379548,4700524,1 - No accuracy stated,Regulated Medical Waste;Infectious Substances;Cultures & Stocks;Animal Waste,7-5030-00007/00006,04/06/2020,04/05/2030,
Moscow Road Pit,1700-1712 Moscow Road,,Hamlin,NY,14464,Monroe,8,5855894481,Keeler Construction; Inc.,Private,CDDHRF - asphalt pavement and millings - registration,[28C20027],Yes,258617,4804225,4.2 - Utilization of GIS and existing spatial data,Asphalt Pavement;Asphalt Millings,28C20027,02/16/2022,02/15/2027,"1700-1712 Moscow Road
Hamlin, NY 14464
(43.3504, -77.97777)"
Hanson Aggregates NY LLC - Watertown Plant,25133 NYS Route 3,PO Box 130,Watertown,NY,13601,Jefferson,6,3157822300,Hanson Aggregates New York LLC,Private,C&D processing - registration,[23W09],Yes,430136,4870454,,,23W09,06/21/2013,,"25133 NYS Route 3
Watertown, NY 13601
(43.98217, -75.86766)"
Tompkins County Recycling and SW Center,160 Commercial Ave.,,Ithaca,NY,14850,Tompkins,7,6072732307,Tompkins County SWM Division,Municipal,Transfer facility - permit,[55TP0012],Yes,375068,4698011,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);Single Stream;Tree Debris;Food Scraps;Corrugated Cardboard;Junk Mail;Office Paper;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Electronics;Yard Trimmings;Waste Tires,7-5007-00032/00002,07/16/2025,07/15/2035,"160 Commercial Ave.
Ithaca, NY 14850
(42.42403, -76.51829)"
Selleck Road TS,7531 Selleck Road,,Savona,NY,14879,Steuben,8,8002273552,Casella Waste Management of NY Inc,Private,Transfer facility - permit,[51TP0040],Yes,313871,4687310,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris,8-4624-00046/00002-0,09/15/2009,09/14/2019,"7531 Selleck Road
Savona, NY 14879
(42.3154, -77.25948)"
Richfield Springs Transfer Station,Elm Street Extension,,Richfield Springs,NY,13439,Otsego,4,3158581695,Village of Richfield Springs,Private,Transfer facility - source separated recyclables - registration,[39T35602],Yes,500400,4743759,3 - Global Positioning System (GPS),Single Stream,39T15601,02/27/2024,02/26/2029,
Lockport Compost,611 West Jackson Street,,Lockport,NY,14095,Niagara,9,7164331613,City of Lockport,Municipal,Composting - biosolids/other - permit,[32PP0013],Yes,199755,4787950,4 - GIS Assisted,Biosolids,9-2909-00059/00003,01/15/2019,01/13/2029,"611 West Jackson Street
Lockport, NY 14095
(43.18461, -78.70993)"
Paige Recycling; LLC,19151 Star School House Road,,Dexter,NY,13634,Jefferson,6,3157820368,Joseph Paige,Private,VDF - registration,[23V50019],Yes,420629,4879127,4.1 - Address Matching,End of Life Vehicles VDFs,23V50019,09/03/2024,09/02/2029,"19151 Star School House Road
Dexter, NY 13634
(44.06091, -75.99068)"
Elma Transfer Station,370 Creek Road,,Elma,NY,14059,Erie,9,7166528084,Town of Elma,Municipal,Transfer facility - less than 50 tpd - registration,[15T10033],Yes,206763,4746709,,MSW (Residential/Institutional & Commercial);Commingled Paper;Commingled Plastics;Tin & Aluminum Containers;Corrugated Cardboard;Bulk Metal (from MSW);Container Glass,15T10033,10/09/2025,10/09/2030,"370 Creek Road
Elma, NY 14059
(42.8164, -78.58619)"
Bell Crossing LLC,355 Old Quarry Rd,,Feura Bush,NY,12067,Albany,4,,Bell Crossing LLC,,CDDHRF - storage only- concrete brick rock asphalt pavement - registration,[01CS3401],Yes,575461,1800581,1 - No accuracy stated,Concrete;Asphalt Millings;Asphalt Pavement;Rock;Sand;Gravel,01CS3401,09/25/2025,09/24/2030,"355 Old Quarry Rd
Feura Bush, NY 12067
(42.56029, -73.86198)"
Bill's Trucks & Salvage,198 County Road 41,,West Edmeston,NY,13485,Chenango,7,6078478025,William Cummings,Private,VDF - registration,[09V20007],Yes,473720,4729561,,End of Life Vehicles VDFs,09V20007,05/08/2023,05/08/2028,"198 County Road 41
West Edmeston, NY 13485
(42.71665, -75.32144)"
Deer Park Recycling,54 Kinkel St,,Westbury,NY,11590,Nassau,1,5163336145,,,RHRF - exempt (non-VDF),[30M00],Yes,621406,4512651,,,,,,"54 Kinkel St
Westbury, NY 11590
(40.75586, -73.56207)"
Fake's Auto Enterprise Inc,1131 Barker Road,,Dolgeville,NY,13329,Herkimer,6,3154298069,Edward Fake,Private,VDF - registration,[22V50007],Yes,517764,4770213,,End of Life Vehicles VDFs,22V50007,01/08/2025,01/07/2030,"1131 Barker Road
Dolgeville, NY 13329
(43.08471, -74.78185)"
Orleans Transfer Station,18108 County Route 3,,Orleans (T),NY,13656,Jefferson,6,3156582537,Town of Orleans,Municipal,Transfer facility - source separated recyclables - registration,[23T30007],Yes,419605,4898783,,Electronics;Metals (Ferrous & Non-Ferrous);Commingled Paper;Commingled Plastics;Container Glass,23T30007,02/04/2024,02/03/2029,"18108 County Route 3
Orleans (T), NY 13656
(44.23853, -76.00767)"
JAZ Auto Wreckers LLC,726 Glen Wild Road,,Woodridge,NY,12789,Sullivan,3,8456931226,John Azzinaro,Private,VDF - registration,[53V50005],Yes,535372,4613453,,End of Life Vehicles VDFs,53V50005,11/21/2019,11/20/2024,"726 Glen Wild Road
Woodridge, NY 12789
(41.67157, -74.57609)"
S&M Prompt Rubbish Removal Service Inc,7 Linden Place,,Oceanside,NY,11572,Nassau,1,5167642950,Salvatore Mancuso,Private,WTHRF - permit,[30WP0141],Yes,614010,4497743,,Waste Tires;Tire;Tire (Chips),1-2820-94784/00001,04/30/2021,04/29/2026,
Oneida-Herkimer Solid Waste Authority - Leland Ave. Ext.,80 Leland Avenue,,Utica,NY,13502,Oneida,6,3157380417,Oneida Herkimer SWA,Municipal,Transfer facility - permit,[33TP0002],Yes,484432,4772023,4.2.1 - Utilization of GIS and Facility Mapping System,Animal Carcasses;Bypass Waste (Unprocessible/Processible) ;Construction & Demolition Debris;MSW (Residential/Institutional & Commercial),6-3016-00084/00005,10/22/2018,12/31/2022,"80 Leland Avenue
Utica, NY 13502
(43.10685, -75.21213)"
Covanta MacArthur Renewable Energy,4001 Veterans Memorial Highway,,Ronkonkoma,NY,11779,Suffolk,1,6314717800,Islip Resource Recovery Agency,Municipal,Combustion - permit,[52BP0324],Yes,659833,4516760,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Ash MSW Energy Recovery Bottom;Metals (Ferrous & Non-Ferrous),1-4728-00185/00013,04/01/2024,04/30/2029,"4001 Veterans Memorial Highway
Ronkonkoma, NY 11779
(40.78597, -73.10583)"
Troy Resource Management Facility,East Industrial Parkway and Main Street,,Troy,NY,12180,Rensselaer,4,,Troy Local Development Corporation,Municipal,RHRF - 5 tpd or less - registration,[42R11701],Yes,606507,4729264,1.1 - Obtained from original submission and unverified process,Source Separated Recyclables (Metal/Glass/Paper/Plastic),42R11701,01/06/2021,01/06/2026,"East Industrial Parkway and Main Street
Troy, NY 12180
(42.7084, -73.69978)"
Grantson Farm,561 Gay Brook Rd,,Oneonta,NY,13820,Delaware,4,6078293413,David Grant,Private,Storage - manure & food processing waste - registration,[13A21201],Yes,495639,4673632,1 - No accuracy stated,Non-recognizable Food Processing Waste,13A21201,10/13/2023,10/12/2028,"561 Gay Brook Rd
Oneonta, NY 13820
(42.39397, -75.05297)"
Steven E. Smith,14653 Duanesburg Rd,,Schoharie,NY,12157,Schoharie,4,,New England Waste Services of ME. Inc; DBA Casella Organics,Private,Land application - UFPW - registration,[48A34202],Yes,559824,4729807,1 - No accuracy stated,Sludge (Papermill),48A34202,11/15/2024,11/14/2029,
Tully Environmental Inc.,15 Greene Street,,Bayshore,NY,11706,Suffolk,1,7184467026,Dean Devoe,Private,Transfer facility - permit,[52TP0237],Yes,649725,4509724,1 - No accuracy stated,Biosolids;Sludge (Industrial);Sewage Treatment Plant Sludge;Septage;Grease Trap Waste;MSW (Residential/Institutional & Commercial),1-4728-04784/00001,06/16/2021,06/15/2026,"15 Greene Street
Bayshore, NY 11706
(40.73438, -73.22931)"
Robert Mazza; Inc.,8398 West Route 20,,Westfield,NY,14787,Chautauqua,9,7167939463,Mazza Chautauqua Cellars; LLC,Private,Land application - UFPW - registration,[07A30001],Yes,120500,4694354,4.2 - Utilization of GIS and existing spatial data,Non-recognizable Food Processing Waste,07A30001,07/16/2023,07/16/2028,"8398 West Route 20
Westfield, NY 14787
(42.30763, -79.6056)"
St. Lawrence County Star Lake Transfer Station,4582 State Highway 3,,Star Lake,NY,13690,St. Lawrence,6,3153799084,St. Lawrence County Solid Waste Dept.,County,Transfer facility - less than 50 tpd - registration,[45T10021],Yes,499654,4890110,4.1 - Address Matching,Waste Tires;MSW (Residential/Institutional & Commercial);Construction & Demolition Debris,45T10021,11/18/2024,11/17/2029,"4582 State Highway 3
Star Lake, NY 13690
(44.16455, -75.00699)"
Rend-Cach Farms,1309 Preston Hill Rd,,Earlville,NY,13332,Madison,7,3158255335,Christopher Hughes,Private,Storage - manure & food processing waste - registration,[27A20024],Yes,456588,4737119,4.1 - Address Matching,Non-recognizable Food Processing Waste,27A20024,04/18/2023,04/17/2028,
Modern Landfill; Inc.,1445 Pletcher Road,,Model City,NY,14107,Niagara,9,7167548226,Modern Corporation,Private,Composting - SSO - registration,[32P20010],Yes,394195,1169402,,Food Scraps;Source Separated Organic Waste (SSOW),32P20010,12/17/2024,12/17/2029,"1445 Pletcher Road
Model City, NY 14107
(43.20882, -78.98108)"
Ravine Farm Landscaping,Decker Ln,,East Durham,NY,12423,Greene,4,,Hunter Phillips,,CDDHRF - uncontaminated soil sand gravel rock - registration,[20C63001],Yes,573404,4694311,3 - Global Positioning System (GPS),Soil (Clean),20C63001,10/17/2024,10/16/2029,
Niagara Metals LLC - Niagara Falls,4861 Packard Road,,Niagara Falls,NY,14304,Niagara,9,7162826200,Niagara Metals,Private,Scrap metal processor - registration,[32V30017],Yes,174049,4779401,1 - No accuracy stated,Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,32V30017,09/03/2024,09/03/2029,"4861 Packard Road
Niagara Falls, NY 14304
(43.09719, -79.00525)"
Suburban Septic and Excavating Service Inc,332 Main Street,,Kirkwood,NY,13795,Broome,7,6077753693,Suburban Septic,Private,Land application - septage - registration,[04A40031],Yes,433966,4654718,4.1 - Address Matching,Septage,04A40031,02/24/2023,02/23/2028,"332 Main Street
Kirkwood, NY 13795
(42.04155, -75.79788)"
Natural Wood Fiber Organics LLC,8452 Lake Street Road,,LeRoy,NY,14482,Genesee,8,5855910510,Shannon S. Domes,Private,Mulch processing - registration,[19M10013],Yes,256700,4765603,4.1 - Address Matching,Tree Debris,19M10013,07/14/2025,07/14/2030,"8452 Lake Street Road
LeRoy, NY 14482
(43.00379, -77.98214)"
Peconic Recycling & Transfer Corp,560 Commerce Drive,,Cutchogue,NY,11935,Suffolk,1,,Stanley Lomangino,Private,CDDHRF - permit,[52CP0420],Yes,709888,4544720,,Construction & Demolition Debris,1-4738-03697/00001,07/05/2024,07/04/2029,"560 Commerce Drive
Cutchogue, NY 11935
(41.02666, -72.50299)"
Parallel Products of New England Inc 136th St.,900 East 136th Street,,Bronx,NY,10454,Bronx,2,7185852030,Parallel Products of New England Inc,Private,RHRF - greater than 5 tpd - registration,[03R20131],Yes,592023,4517257,,Source Separated Recyclables (Metal/Glass/Paper/Plastic);Other Aluminum Scrap Metal;PET;Container Glass,03R20131,03/30/2023,03/29/2028,"900 East 136th Street
Bronx, NY 10454
(40.80128, -73.90908)"
Faztec Industries,200 Bloomfield Avenue,,Staten Island,NY,10314,Richmond,2,7184941600,Faztec Industries,Private,C&D processing - registration,[43W47],Yes,568827,4496117,4.3 - Utilization of Digital Orthophoto Quads,Soil (Clean);Rock;Asphalt;Brick;Concrete,,,,"200 Bloomfield Avenue
Staten Island, NY 10314
(40.61388, -74.18592)"
Queensbury - Jenkinsville Rd Mine Site LCD,Jenkinsville Road,,Queensbury,NY,12804,Warren,5,5187618211,Town Of Queensbury,Municipal,Landfill - land clearing debris,[57D16],Yes,611740,4804847,1 - No accuracy stated,Land Clearing Debris,57D16,,,
Beacon (C),90-96 Dennings Avenue,,Beacon,NY,12508,Dutchess,3,8458314390,City of Beacon,,Transfer facility - less than 50 tpd - registration,[14T10009],Yes,585022,4595693,,Commingled Paper;MSW (Residential/Institutional & Commercial);Waste Tires;Corrugated Cardboard,14T10009,04/24/2024,04/23/2029,"90-96 Dennings Avenue
Beacon, NY 12508
(41.4949, -73.9816)"
SYR Glycol Recycling Facility (AeroMag 2000),6991 Thompson Road,,Syracuse,NY,13212,Onondaga,7,5144028675,AeroMag 2000 Syr LLC,Private,RHRF - registration,[34R30091],Yes,411143,4773925,4.1 - Address Matching,Used Oil,34R30091,09/20/2024,09/19/2029,"6991 Thompson Road
Syracuse, NY 13212
(43.10805, -76.08969)"
Vogel Pit #1,Tamarack Road,,Lake Pleasant,NY,12108,Hamilton,5,5185485995,Donald Vogel,Private,Landfill - land clearing debris,[21D09],Yes,544997,4813288,,Land Clearing Debris,21D09,01/20/2006,,
Poughkeepsie (T) Highway Dept,8 Burnett Boulevard,,Poughkeepsie,NY,12603,Dutchess,3,8454521750,Town of Poughkeepsie,Municipal,Transfer facility - less than 50 tpd - registration,[14T10006],Yes,592439,4616435,,MSW (Residential/Institutional & Commercial);Yard Trimmings;Electronics,14T10006,12/10/2024,12/09/2029,"8 Burnett Boulevard
Poughkeepsie, NY 12603
(41.69617, -73.88917)"
Bistrian Materials; Inc. d/b/a Calverton Materials,3968 Middle Country Road,,Calverton,NY,11933,Suffolk,1,6313691265,Bistrian Materials; Inc.,Private,Composting - yard waste - permit,[52PP0390],Yes,688610,4533439,4.3 - Utilization of Digital Orthophoto Quads,Yard Trimmings,1-4730-00597/00005,09/23/2024,09/22/2029,"3968 Middle Country Road
Calverton, NY 11933
(40.92778, -72.76002)"
NYCDOS SOUTHWEST BROOKLYN MTS,400 Bay 41st Street,,Brooklyn,NY,11214,Kings,2,2128378030,NYCDOS,Municipal,Transfer facility - permit,[24TP0003],Yes,584853,4493769,,MSW (Residential/Institutional & Commercial),2-6106-00002/00022,01/19/2023,01/18/2033,"400 Bay 41st Street
Brooklyn, NY 11214
(40.58943, -73.9957)"
Island Rock & Dirt Corp.,631 Woodfield Road,,West Hempstead,NY,11552,Nassau,1,5166449046,Michael Pasquaretto,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[30C60153],Yes,613925,4504991,4.3 - Utilization of Digital Orthophoto Quads,Soil (Clean),30-0153,04/16/2022,04/15/2027,"631 Woodfield Road
West Hempstead, NY 11552
(40.68793, -73.65182)"
John Hoover Custom Farming,823 Marshall Rd,,Waterloo,NY,13165,Seneca,8,3158560032,John Hoover,,Land application - Third Party CAFO Applier - registration,[50A60015],Yes,343910,4748281,4.1 - Address Matching,Manure,50A60015,05/15/2024,05/15/2029,"823 Marshall Rd
Waterloo, NY 13165
(42.87088, -76.91214)"
Casella Recycling Albany,71 Fuller Road,,Albany,NY,12205,Albany,4,8027722254,Casella Recycling LLC,Private,RHRF - registration,[01R20101],Yes,596223,4728084,,Single Stream,01T10101,12/29/2023,12/28/2028,"71 Fuller Road
Albany, NY 12205
(42.69886, -73.82534)"
Generate Buffalo Digester; LLC,2900 North America Drive,,West Seneca,NY,14224,Erie,9,7169704746,Generate Capital Inc.,,Anaerobic digestion - permit,[15PP0106],Yes,195329,4750416,4.2.1 - Utilization of GIS and Facility Mapping System,,9-1468-00224/00001,11/29/2023,11/28/2028,"2900 North America Drive
West Seneca, NY 14224
(42.84572, -78.72872)"
BBC Aggregate Recycling (Coeymans),2169 River Road,,Coeymans,NY,12143,Albany,4,,W.M. BIERS,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[01C62405],Yes,559067,4703727,3 - Global Positioning System (GPS),Soil (Clean),01C62405,02/11/2022,02/10/2027,"2169 River Road
Coeymans, NY 12143
(42.47953, -73.79317)"
Broadalbin Transfer Station,221 Union Mills Road,,Broadalbin,NY,12025,Fulton,5,5187365501,Fulton County,County,Transfer facility - less than 50 tpd - registration,[18T10001],Yes,566968,4768895,,MSW (Residential/Institutional & Commercial);Single Stream;Metals (Ferrous & Non-Ferrous);Electronics;Waste Oil (Other);Yard Trimmings,18T10001,07/02/2023,07/01/2028,"221 Union Mills Road
Broadalbin, NY 12025
(43.06941, -74.17709)"
B & B Garage LLC,292 Route 385,,Catskill,NY,12414,Greene,4,5189435582,Robert O'Connell,Private,VDF - registration,[20V52601],Yes,594867,4677453,,End of Life Vehicles VDFs,20V52601,06/20/2019,06/20/2024,"292 Route 385
Catskill, NY 12414
(42.24377, -73.85076)"
Village Motors Auto Sales LLC,8240 State Route 69,,Oriskany,NY,13424,Oneida,6,3157365400,Matthew Shannon,Private,Motor vehicle repair shop - registration,[33V40029],Yes,472227,4779319,,End of Life Vehicles VDFs,33V40029,08/19/2021,08/18/2026,"8240 State Route 69
Oriskany, NY 13424
(43.16625, -75.34143)"
Middendorf Auto Salvage,770 Spaulding Hill Road,,Owego,NY,13827,Tioga,7,6072225472,Anthony Middendorf,Private,VDF - small - registration,[54V20005],Yes,388392,4667035,,End of Life Vehicles VDFs,54V20005,11/19/2019,11/19/2024,"770 Spaulding Hill Road
Owego, NY 13827
(42.14353, -76.34182)"
Gernatt Asphalt Products; Inc. - Delevan Plant,11802 Route 16,,Yorkshire,NY,14042,Cattaraugus,9,7164920250,Gernatt Asphalt Products; Inc.,,CDDHRF - concrete; rock; brick; asphalt pavement or millings - registration,[05C90032],Yes,214527,4712227,4.2 - Utilization of GIS and existing spatial data,Concrete;Brick;Asphalt Pavement;Asphalt Millings,05C90032,04/03/2025,04/03/2030,"11802 Route 16
Yorkshire, NY 14042
(42.51207, -78.47835)"
Wheelabrator Westchester L.P.,One Charles Point Avenue,,Peekskill,NY,10566,Westchester,3,9147399304,Westchester County DA,Private,Combustion - permit,[60E01],Yes,588650,4570060,,MSW (Residential/Institutional & Commercial);Sludge (Industrial);Metals (Ferrous & Non-Ferrous),3-5512-00031/00004,02/11/2020,02/10/2025,"One Charles Point Avenue
Peekskill, NY 10566
(41.29165, -73.91128)"
LVM Materials LLC,3200 Route 39,,Bliss,NY,14024,Wyoming,9,5853228878,Lee Maher,Private,RHRF - greater than 5 tpd - registration,[61R20001],Yes,231800,4717755,4.2 - Utilization of GIS and existing spatial data,Wood (Adulterated);Wood (Unadulterated Pallets);Wood (Unadulterated);Wood (Chips),61R20001,07/25/2023,07/25/2028,"3200 Route 39
Bliss, NY 14024
(42.56728, -78.26934)"
Washington County Compost Facility,1612 State Route 196,,Hudson Falls,NY,12839,Washington,5,5189558013,Washington CountySewer District #2,Municipal,Composting - biosolids/other - permit,[58PP0014],Yes,620400,4796100,4.3 - Utilization of Digital Orthophoto Quads,Biosolids;Wood (Chips),5-5344-00063/00001,02/06/2024,02/05/2029,
EcoVerde Organics Wright Road,396 Wright Rd,,Alabama,NY,14001,Genesee,8,7162093166,Ecoverde Organics; LLC,Private,Composting - SSO - registration,[19P20014],Yes,0,0,,Food Scraps;Source Separated Organic Waste (SSOW),19P20014,09/30/2021,09/30/2026,"396 Wright Rd
Alabama, NY 14001
(43.03549, -78.44952)"
